Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL029C	MYO4	I	-	87856	92271	0.057065	66.988078	64.820605
STRG.30	-	I	-	87856	92271	0.057065	66.988078	64.820605
YAL027W	YAL027W	I	+	94688	95473	0.000000	0.000000	0.000000
YAL026C-A	YAL026C-A	I	-	95387	95824	0.000000	0.000000	0.000000
YAL026C	DRS2	I	-	95631	99698	0.035398	41.553386	40.208881
HRA1	-	I	+	99306	99869	0.000000	0.000000	0.000000
STRG.31	-	I	-	95631	99698	0.035398	41.553386	40.208881
YAL025C	MAK16	I	-	100226	101146	0.117264	137.655130	133.201146
STRG.32	-	I	-	100226	101146	0.117264	137.655130	133.201146
YAL021C	CCR4	I	-	110847	113360	0.014320	16.810116	16.266206
STRG.33	-	I	-	110847	113360	0.014320	16.810116	16.266206
YAL023C	PMT2	I	-	106273	108552	0.085526	100.398184	97.149690
STRG.34	-	I	-	106273	108552	0.085526	100.398184	97.149690
YAL019W	FUN30	I	+	114920	118315	0.053004	62.220907	60.207681
STRG.35	-	I	+	114920	118315	0.053004	62.220907	60.207681
YAL017W	PSK1	I	+	120226	124296	0.026529	31.142149	30.134510
STRG.36	-	I	+	120226	124296	0.026529	31.142149	30.134510
YAL013W	DEP1	I	+	129271	130533	0.028504	33.460583	32.377929
STRG.37	-	I	+	129271	130533	0.028504	33.460583	32.377929
YAL016C-A	YAL016C-A	I	-	124756	125070	0.228571	268.317392	259.635686
YAL016W	TPD3	I	+	124880	126787	0.075472	88.595886	85.729268
YAL015C	NTG1	I	-	126904	128103	0.030000	35.216724	34.077248
STRG.38	-	I	-	124756	125070	0.228571	268.317392	259.635686
STRG.39	-	I	+	124880	126787	0.075472	88.595886	85.729268
STRG.40	-	I	-	126904	128103	0.030000	35.216724	34.077248
YAL012W	CYS3	I	+	130802	131986	0.155274	182.274719	176.377019
STRG.41	-	I	+	130802	131986	0.155274	182.274719	176.377019
YAL011W	SWC3	I	+	132202	134079	0.019169	22.502313	21.774225
STRG.42	-	I	+	132202	134079	0.019169	22.502313	21.774225
YAL007C	ERP2	I	-	137700	138347	0.444444	521.728719	504.847610
STRG.43	-	I	-	137700	138347	0.444444	521.728719	504.847610
YAL005C	SSA1	I	-	139505	141433	0.578538	679.140430	657.166092
YAL004W	YAL004W	I	+	140762	141409	0.000000	0.000000	0.000000
STRG.44	-	I	-	139505	141433	0.578538	679.140430	657.166092
YAL003W	EFB1	I	+	142176	143162	1.719807	2018.865599	1953.542973
snR18	-	I	+	142369	142470	0.352941	414.314190	400.908596
STRG.45	-	I	+	142369	142470	0.352941	414.314190	400.908596
YAL002W	VPS8	I	+	143709	147533	0.018824	22.097320	21.382337
STRG.46	-	I	+	143709	147533	0.018824	22.097320	21.382337
YAL001C	TFC3	I	-	147596	151168	0.031008	36.400006	35.222243
YAR002W	NUP60	I	+	152259	153878	0.044444	52.172402	50.484307
STRG.47	-	I	+	152259	153878	0.044444	52.172402	50.484307
YAR002C-A	ERP1	I	-	154067	154726	0.109091	128.060920	123.917368
STRG.48	-	I	-	154067	154726	0.109091	128.060920	123.917368
YAR003W	SWD1	I	+	155007	156287	0.084309	98.969559	95.767289
STRG.49	-	I	+	155007	156287	0.084309	98.969559	95.767289
YAR008W	SEN34	I	+	158967	159794	0.043478	51.038424	49.387019
STRG.50	-	I	+	158967	159794	0.043478	51.038424	49.387019
YAR007C	RFA1	I	-	156756	158621	0.077170	90.589152	87.658040
STRG.51	-	I	-	156756	158621	0.077170	90.589152	87.658040
YAR015W	ADE1	I	+	169370	170290	0.195440	229.425216	222.001910
STRG.52	-	I	+	169370	170290	0.195440	229.425216	222.001910
YAR014C	BUD14	I	-	166743	168866	0.084746	99.482549	96.263681
STRG.53	-	I	-	166743	168866	0.084746	99.482549	96.263681
YAR019C	CDC15	I	-	172209	175133	0.012308	14.448248	13.980759
YAR019W-A	YAR019W-A	I	+	174996	175340	0.000000	0.000000	0.000000
STRG.54	-	I	-	172209	175133	0.012308	14.448248	13.980759
YAR027W	UIP3	I	+	183764	184471	0.101695	119.378824	115.516190
STRG.55	-	I	+	183764	184471	0.101695	119.378824	115.516190
YAR042W	SWH1	I	+	192613	196179	0.020185	23.694986	22.928308
STRG.56	-	I	+	192613	196179	0.020185	23.694986	22.928308
YAR068W	YAR068W	I	+	222397	222882	0.814815	956.503825	925.555087
STRG.57	-	I	+	222397	222882	0.814815	956.503825	925.555087
YFL067W	YFL067W	VI	+	836	1363	0.068182	80.038222	77.448497
STRG.58	-	VI	+	836	1363	0.068182	80.038222	77.448497
YAR071W	PHO11	I	+	225451	226854	0.025641	30.099734	29.125824
STRG.59	-	I	+	225451	226854	0.025641	30.099734	29.125824
YFL060C	SNO3	VI	-	10301	10969	0.053812	63.169411	61.125495
STRG.60	-	VI	-	10301	10969	0.053812	63.169411	61.125495
YFL047W	RGD2	VI	+	40421	42565	0.018648	21.890715	21.182417
STRG.61	-	VI	+	40421	42565	0.018648	21.890715	21.182417
YFL048C	EMP47	VI	-	38843	40180	0.080717	94.752943	91.687107
STRG.62	-	VI	-	38843	40180	0.080717	94.752943	91.687107
YFL045C	SEC53	VI	-	43628	44392	0.800000	939.112632	908.726606
STRG.63	-	VI	-	43628	44392	0.800000	939.112632	908.726606
YFL042C	YFL042C	VI	-	45720	47744	0.025679	30.144342	29.168988
STRG.64	-	VI	-	45720	47744	0.025679	30.144342	29.168988
YFL041W	FET5	VI	+	49139	51007	0.019262	22.611484	21.879865
STRG.65	-	VI	+	49139	51007	0.019262	22.611484	21.879865
YFL039C	ACT1	VI	-	53260	54695	0.675532	793.000794	767.342377
YFL038C	YPT1	VI	-	55365	55985	0.708535	831.742711	804.830757
STRG.66	-	VI	-	55365	55985	0.708535	831.742711	804.830757
YFL037W	TUB2	VI	+	56335	57708	0.461426	541.663732	524.137604
STRG.67	-	VI	+	56335	57708	0.461426	541.663732	524.137604
YFL034C-A	RPL22B	VI	-	64242	64931	0.002710	3.181244	3.078311
YFL036W	RPO41	VI	+	58781	62836	0.044379	52.096099	50.410473
STRG.68	-	VI	+	58781	62836	0.044379	52.096099	50.410473
YFL033C	RIM15	VI	-	69113	74425	0.013552	15.908568	15.393829
STRG.69	-	VI	-	69113	74425	0.013552	15.908568	15.393829
YFL032W	YFL032W	VI	+	74870	75190	0.473520	555.860767	537.875278
YFL031W	HAC1	VI	+	75177	76145	0.358438	420.767067	407.152684
YFL031C-A	YFL031C-A	VI	-	76012	76113	0.000000	0.000000	0.000000
STRG.70	-	VI	+	74870	75190	0.473520	555.860767	537.875278
YFL028C	CAF16	VI	-	79342	80211	0.082759	97.150028	94.006632
STRG.71	-	VI	-	79342	80211	0.082759	97.150028	94.006632
YFL027C	GYP8	VI	-	80417	81910	0.024096	28.286072	27.370845
STRG.72	-	VI	-	80417	81910	0.024096	28.286072	27.370845
YFL024C	EPL1	VI	-	87845	90343	0.028411	33.351411	32.272290
STRG.73	-	VI	-	87845	90343	0.028411	33.351411	32.272290
YFL021C-A	YFL021C-A	VI	-	95759	96613	0.042105	49.426672	47.827417
YFL021W	GAT1	VI	+	95964	97496	0.067189	78.872548	76.320540
STRG.74	-	VI	-	95759	96613	0.042105	49.426672	47.827417
STRG.75	-	VI	+	95964	97496	0.067189	78.872548	76.320540
YFL023W	BUD27	VI	+	90984	93374	0.030113	35.349373	34.205605
YFL022C	FRS2	VI	-	93497	95008	0.261905	307.447868	297.500052
STRG.76	-	VI	+	90984	93374	0.030113	35.349373	34.205605
STRG.77	-	VI	-	93497	95008	0.261905	307.447868	297.500052
YFL017C	GNA1	VI	-	103977	104456	0.039583	46.466119	44.962657
STRG.78	-	VI	-	103977	104456	0.039583	46.466119	44.962657
YFL018C	LPD1	VI	-	101622	103121	0.264000	309.907169	299.879780
STRG.79	-	VI	-	101622	103121	0.264000	309.907169	299.879780
YFL016C	MDJ1	VI	-	104695	106230	0.093750	110.052262	106.491399
STRG.80	-	VI	-	104695	106230	0.093750	110.052262	106.491399
YFL009W	CDC4	VI	+	116139	118478	0.015385	18.060310	17.475949
STRG.81	-	VI	+	116139	118478	0.015385	18.060310	17.475949
YFL008W	SMC1	VI	+	119424	123101	0.009788	11.490043	11.118270
STRG.82	-	VI	+	119424	123101	0.009788	11.490043	11.118270
YFL005W	SEC4	VI	+	130329	130976	0.277778	326.081036	315.530324
STRG.83	-	VI	+	130329	130976	0.277778	326.081036	315.530324
YFL007W	BLM10	VI	+	123474	129905	0.022388	26.281067	25.430714
STRG.84	-	VI	+	123474	129905	0.022388	26.281067	25.430714
YFL004W	VTC2	VI	+	131805	134291	0.072376	84.961520	82.212496
STRG.85	-	VI	+	131805	134291	0.072376	84.961520	82.212496
YFL002W-B	YFL002W-B	VI	+	138199	139515	0.000000	0.000000	0.000000
YFL002W-A	YFL002W-A	VI	+	138199	143512	0.013549	15.905046	15.390421
STRG.86	-	VI	+	138199	143512	0.013549	15.905046	15.390421
YFL001W	DEG1	VI	+	147126	148454	0.027088	31.798354	30.769483
STRG.87	-	VI	+	147126	148454	0.027088	31.798354	30.769483
YFL002C	SPB4	VI	-	145109	146929	0.079077	92.827762	89.824217
STRG.88	-	VI	-	145109	146929	0.079077	92.827762	89.824217
YFR001W	LOC1	VI	+	149105	149719	0.351220	412.293923	398.953698
STRG.89	-	VI	+	149105	149719	0.351220	412.293923	398.953698
YFR002W	NIC96	VI	+	150011	152530	0.064683	75.930778	73.473954
STRG.90	-	VI	+	150011	152530	0.064683	75.930778	73.473954
YFR003C	YPI1	VI	-	152652	153119	0.538462	632.095583	611.643432
STRG.91	-	VI	-	152652	153119	0.538462	632.095583	611.643432
YFR006W	YFR006W	VI	+	156139	157746	0.022388	26.281067	25.430714
STRG.92	-	VI	+	156139	157746	0.022388	26.281067	25.430714
YFR004W	RPN11	VI	+	153388	154308	0.146580	172.068912	166.501432
STRG.93	-	VI	+	153388	154308	0.146580	172.068912	166.501432
YFR013W	IOC3	VI	+	169914	172277	0.076142	89.382393	86.490327
STRG.94	-	VI	+	169914	172277	0.076142	89.382393	86.490327
YFR009W	GCN20	VI	+	162482	164740	0.191235	224.489005	217.225416
YFR009W-A	YFR009W-A	VI	+	163869	164126	0.000000	0.000000	0.000000
STRG.95	-	VI	+	162482	164740	0.191235	224.489005	217.225416
YFR014C	CMK1	VI	-	172529	173869	0.008949	10.505149	10.165243
STRG.96	-	VI	-	172529	173869	0.008949	10.505149	10.165243
YFR015C	GSY1	VI	-	174257	176383	0.016925	19.868102	19.225247
STRG.97	-	VI	-	174257	176383	0.016925	19.868102	19.225247
YFR018C	YFR018C	VI	-	183119	184210	0.065934	77.399315	74.894975
STRG.98	-	VI	-	183119	184210	0.065934	77.399315	74.894975
YFR016C	YFR016C	VI	-	177034	180735	0.106969	125.569924	121.506970
STRG.99	-	VI	-	177034	180735	0.106969	125.569924	121.506970
YFR020W	YFR020W	VI	+	192726	193424	0.051502	60.457723	58.501547
STRG.100	-	VI	+	192726	193424	0.051502	60.457723	58.501547
YFR019W	FAB1	VI	+	184490	191326	0.036858	43.267267	41.867307
STRG.101	-	VI	+	184490	191326	0.036858	43.267267	41.867307
YFR021W	ATG18	VI	+	194800	196302	0.047904	56.234064	54.414549
STRG.102	-	VI	+	194800	196302	0.047904	56.234064	54.414549
YFR029W	PTR3	VI	+	210925	212961	0.017673	20.746172	20.074907
STRG.103	-	VI	+	210925	212961	0.017673	20.746172	20.074907
YFR030W	MET10	VI	+	213300	216407	0.011583	13.597177	13.157225
STRG.104	-	VI	+	213300	216407	0.011583	13.597177	13.157225
YFR031C-A	RPL2A	VI	-	220495	221406	0.329412	386.693713	374.181811
YFR031C	SMC2	VI	-	216582	220094	0.051238	60.147816	58.201667
STRG.105	-	VI	-	216582	220094	0.051238	60.147816	58.201667
YFR032C-A	RPL29	VI	-	223246	223425	1.750000	2054.308884	1987.839451
STRG.106	-	VI	-	223246	223425	1.750000	2054.308884	1987.839451
YFR032C-B	YFR032C-B	VI	-	223698	223961	0.545455	640.304601	619.586839
STRG.107	-	VI	-	223698	223961	0.545455	640.304601	619.586839
YFR033C	QCR6	VI	-	224314	224757	0.445946	523.491903	506.553744
STRG.108	-	VI	-	224314	224757	0.445946	523.491903	506.553744
YFR034C	PHO4	VI	-	225008	225946	0.115016	135.016223	130.647624
STRG.109	-	VI	-	225008	225946	0.115016	135.016223	130.647624
YFR036W-A	YFR036W-A	VI	+	227438	228088	0.387097	454.409603	439.706679
YFR037C	RSC8	VI	-	227500	229173	0.232975	273.487207	264.638226
STRG.110	-	VI	+	227438	228088	0.387097	454.409603	439.706679
STRG.111	-	VI	-	227500	229173	0.232975	273.487207	264.638226
YFR038W	IRC5	VI	+	229367	231928	0.042155	49.485366	47.884213
STRG.112	-	VI	+	229367	231928	0.042155	49.485366	47.884213
YFR039C	YFR039C	VI	-	231999	233531	0.023483	27.566477	26.674534
STRG.113	-	VI	-	231999	233531	0.023483	27.566477	26.674534
YFR041C	ERJ5	VI	-	237355	238242	0.040541	47.590707	46.050857
STRG.114	-	VI	-	237355	238242	0.040541	47.590707	46.050857
YFR040W	SAP155	VI	+	234229	237237	0.047856	56.177718	54.360026
STRG.115	-	VI	+	234229	237237	0.047856	56.177718	54.360026
YFR043C	IRC6	VI	-	239101	239814	0.050420	59.187574	57.272494
STRG.116	-	VI	-	239101	239814	0.050420	59.187574	57.272494
YFR045W	YFR045W	VI	+	241985	242986	0.038710	45.441313	43.971009
YFR046C	CNN1	VI	-	243061	244146	0.019337	22.699526	21.965058
STRG.117	-	VI	-	243061	244146	0.019337	22.699526	21.965058
YFR044C	DUG1	VI	-	239979	241424	0.199170	233.803829	226.238848
STRG.118	-	VI	-	239979	241424	0.199170	233.803829	226.238848
YFR049W	YMR31	VI	+	248510	248881	0.193548	227.204215	219.852771
STRG.119	-	VI	+	248510	248881	0.193548	227.204215	219.852771
YFR048W	RMD8	VI	+	246133	248121	0.054299	63.741096	61.678682
STRG.120	-	VI	+	246133	248121	0.054299	63.741096	61.678682
YFR050C	PRE4	VI	-	249053	249853	0.134831	158.276869	153.155646
STRG.121	-	VI	-	249053	249853	0.134831	158.276869	153.155646
YFR051C	RET2	VI	-	250150	251790	0.021938	25.752816	24.919555
STRG.122	-	VI	-	250150	251790	0.021938	25.752816	24.919555
YFR052W	RPN12	VI	+	252492	253316	0.130909	153.672870	148.700614
STRG.123	-	VI	+	252492	253316	0.130909	153.672870	148.700614
YFR052C-A	YFR052C-A	VI	-	253416	253721	0.000000	0.000000	0.000000
YFR053C	HXK1	VI	-	253579	255036	0.123457	144.925035	140.235826
STRG.124	-	VI	-	253579	255036	0.123457	144.925035	140.235826
YFR056C	YFR056C	VI	-	263944	264312	0.000000	0.000000	0.000000
YFR055W	IRC7	VI	+	264191	265213	0.102639	120.486977	116.588488
STRG.125	-	VI	+	264191	265213	0.102639	120.486977	116.588488
YCL064C	CHA1	III	-	15798	16880	0.199446	234.127823	226.552358
STRG.126	-	III	-	15798	16880	0.199446	234.127823	226.552358
YCL063W	VAC17	III	+	17290	18561	0.113208	132.893829	128.593902
STRG.127	-	III	+	17290	18561	0.113208	132.893829	128.593902
YCL061C	MRC1	III	-	18816	22106	0.010939	12.841191	12.425700
STRG.128	-	III	-	18816	22106	0.010939	12.841191	12.425700
YCL059C	KRR1	III	-	22429	23379	0.113565	133.312908	128.999421
STRG.129	-	III	-	22429	23379	0.113565	133.312908	128.999421
YCL058C	FYV5	III	-	23523	23981	0.313725	368.278888	356.362818
YCL058W-A	YCL058W-A	III	+	23584	23925	0.421053	494.270239	478.277580
STRG.130	-	III	-	23523	23981	0.313725	368.278888	356.362818
STRG.131	-	III	+	23584	23925	0.421053	494.270239	478.277580
YCL057C-A	YCL057C-A	III	-	24032	24325	0.088435	103.813032	100.454047
STRG.132	-	III	-	24032	24325	0.088435	103.813032	100.454047
YCL057W	PRD1	III	+	24768	26906	0.252454	296.353426	286.764583
STRG.133	-	III	+	24768	26906	0.252454	296.353426	286.764583
YCL054W	SPB1	III	+	31449	33974	0.185273	217.490268	210.453131
STRG.134	-	III	+	31449	33974	0.185273	217.490268	210.453131
YCL052C	PBN1	III	-	34143	35393	0.115108	135.124221	130.752128
STRG.135	-	III	-	34143	35393	0.115108	135.124221	130.752128
YCL051W	LRE1	III	+	35865	37616	0.020548	24.121108	23.340643
STRG.136	-	III	+	35865	37616	0.020548	24.121108	23.340643
YCL049C	YCL049C	III	-	39786	40724	0.038339	45.005799	43.549587
STRG.137	-	III	-	39786	40724	0.038339	45.005799	43.549587
YCL050C	APA1	III	-	37836	38801	0.223602	262.484329	253.991358
STRG.138	-	III	-	37836	38801	0.223602	262.484329	253.991358
YCL045C	YCL045C	III	-	44623	46905	0.063075	74.043162	71.647413
YCL046W	YCL046W	III	+	46640	46963	0.111111	130.432180	126.211902
STRG.139	-	III	-	44623	46905	0.063075	74.043162	71.647413
STRG.140	-	III	+	46640	46963	0.111111	130.432180	126.211902
YCL035C	GRX1	III	-	60841	61173	0.108108	126.906986	122.800770
STRG.141	-	III	-	60841	61173	0.108108	126.906986	122.800770
YCL034W	LSB5	III	+	61658	62722	0.033803	39.681030	38.397107
STRG.142	-	III	+	61658	62722	0.033803	39.681030	38.397107
YCL033C	YCL033C	III	-	62776	63282	0.071006	83.353289	80.656302
STRG.143	-	III	-	62776	63282	0.071006	83.353289	80.656302
YCL043C	PDI1	III	-	48653	50221	0.344168	404.015646	390.943273
YCL041C	YCL041C	III	-	50133	50627	0.145455	170.748285	165.223536
YCL042W	YCL042W	III	+	50584	50943	0.100000	117.389079	113.590826
YCL040W	GLK1	III	+	50838	52340	0.131737	154.644851	149.641146
STRG.144	-	III	-	48653	50221	0.344168	404.015646	390.943273
STRG.145	-	III	-	50133	50627	0.145455	170.748285	165.223536
STRG.146	-	III	+	50584	50943	0.100000	117.389079	113.590826
STRG.147	-	III	+	50838	52340	0.131737	154.644851	149.641146
YCL032W	STE50	III	+	63441	64481	0.138329	162.383139	157.129053
STRG.148	-	III	+	63441	64481	0.138329	162.383139	157.129053
YCL031C	RRP7	III	-	64675	65568	0.040268	47.270234	45.740754
STRG.149	-	III	-	64675	65568	0.040268	47.270234	45.740754
YCL030C	HIS4	III	-	65934	68333	0.135000	158.475257	153.347615
STRG.150	-	III	-	65934	68333	0.135000	158.475257	153.347615
YCL029C	BIK1	III	-	68599	69921	0.081633	95.828227	92.727599
YCL028W	RNQ1	III	+	70150	71367	0.149425	175.408631	169.733091
STRG.151	-	III	-	68599	69921	0.081633	95.828227	92.727599
STRG.152	-	III	+	70150	71367	0.149425	175.408631	169.733091
YCL025C	AGP1	III	-	76018	77919	0.050999	59.867256	57.930185
STRG.153	-	III	-	76018	77919	0.050999	59.867256	57.930185
YCL023C	YCL023C	III	-	78949	79296	0.103448	121.436655	117.507437
YCL024W	KCC4	III	+	79162	82275	0.010597	12.439721	12.037220
YCL022C	YCL022C	III	-	81570	82085	0.000000	0.000000	0.000000
STRG.154	-	III	-	78949	79296	0.103448	121.436655	117.507437
STRG.155	-	III	+	79162	82275	0.010597	12.439721	12.037220
YCL018W	LEU2	III	+	91324	92418	0.032877	38.594008	37.345256
STRG.156	-	III	+	91324	92418	0.032877	38.594008	37.345256
YCL020W	YCL020W	III	+	85102	86418	0.000000	0.000000	0.000000
YCL019W	YCL019W	III	+	85102	90415	0.027098	31.810093	30.780842
STRG.157	-	III	+	85102	90415	0.027098	31.810093	30.780842
YCL017C	NFS1	III	-	92777	94270	0.073628	86.431231	83.634653
STRG.158	-	III	-	92777	94270	0.073628	86.431231	83.634653
YCL014W	BUD3	III	+	96281	101191	0.014661	17.210413	16.653551
STRG.159	-	III	+	96281	101191	0.014661	17.210413	16.653551
YCL011C	GBP2	III	-	102075	103358	0.448598	526.605061	509.566173
STRG.160	-	III	-	102075	103358	0.448598	526.605061	509.566173
YCL009C	ILV6	III	-	104619	105548	0.232258	272.645527	263.823780
STRG.161	-	III	-	104619	105548	0.232258	272.645527	263.823780
YCL008C	STP22	III	-	105696	106853	0.031088	36.493917	35.313116
STRG.162	-	III	-	105696	106853	0.031088	36.493917	35.313116
YCL001W	RER1	III	+	111914	112480	0.209877	246.372677	238.401017
STRG.163	-	III	+	111914	112480	0.209877	246.372677	238.401017
YCR002C	CDC10	III	-	117378	118346	0.148607	174.448389	168.803918
STRG.164	-	III	-	117378	118346	0.148607	174.448389	168.803918
YCR003W	MRPL32	III	+	118618	119169	0.391304	459.348162	444.485445
STRG.165	-	III	+	118618	119169	0.391304	459.348162	444.485445
YCR004C	YCP4	III	-	119573	120316	0.048387	56.801054	54.963193
STRG.166	-	III	-	119573	120316	0.048387	56.801054	54.963193
YCR005C	CIT2	III	-	120944	122326	0.026030	30.556377	29.567692
STRG.167	-	III	-	120944	122326	0.026030	30.556377	29.567692
YCR008W	SAT4	III	+	128468	130279	0.019868	23.322862	22.568225
STRG.168	-	III	+	128468	130279	0.019868	23.322862	22.568225
YCR009C	RVS161	III	-	130743	131540	0.225564	264.787502	256.220010
STRG.169	-	III	-	130743	131540	0.225564	264.787502	256.220010
YCR011C	ADP1	III	-	133722	136871	0.052698	61.861697	59.860093
STRG.170	-	III	-	133722	136871	0.052698	61.861697	59.860093
YCR015C	YCR015C	III	-	141215	142168	0.037736	44.297943	42.864634
STRG.171	-	III	-	141215	142168	0.037736	44.297943	42.864634
YCR012W	PGK1	III	+	137744	138994	0.689836	809.792127	783.590409
YCR013C	YCR013C	III	-	138400	139047	0.550672	646.428789	625.512872
STRG.172	-	III	+	137744	138994	0.689836	809.792127	783.590409
STRG.173	-	III	-	138400	139047	0.550672	646.428789	625.512872
YCR016W	YCR016W	III	+	143632	144504	0.249714	293.136965	283.652195
STRG.174	-	III	+	143632	144504	0.249714	293.136965	283.652195
YCR020C-A	MAK31	III	-	154828	155094	0.269663	316.554912	306.312429
STRG.175	-	III	-	154828	155094	0.269663	316.554912	306.312429
YCR017C	CWH43	III	-	144771	147632	0.050314	59.063141	57.152088
STRG.176	-	III	-	144771	147632	0.050314	59.063141	57.152088
YCR020W-B	HTL1	III	+	155318	155554	0.151899	178.312837	172.543328
STRG.177	-	III	+	155318	155554	0.151899	178.312837	172.543328
YCR021C	HSP30	III	-	156105	157103	0.108108	126.906986	122.800770
STRG.178	-	III	-	156105	157103	0.108108	126.906986	122.800770
YCR023C	YCR023C	III	-	158534	160369	0.058824	69.052952	66.818667
STRG.179	-	III	-	158534	160369	0.058824	69.052952	66.818667
YCR024C	SLM5	III	-	160740	162218	0.024341	28.573676	27.649143
STRG.180	-	III	-	160740	162218	0.024341	28.573676	27.649143
YCR024C-B	YCR024C-B	III	-	162595	162861	0.134831	158.276869	153.155646
YCR024C-A	PMP1	III	-	162941	163063	0.186992	219.508187	212.405757
STRG.181	-	III	-	162595	162861	0.134831	158.276869	153.155646
STRG.182	-	III	-	162941	163063	0.186992	219.508187	212.405757
YCR026C	NPP1	III	-	164107	166335	0.080754	94.796377	91.729135
STRG.183	-	III	-	164107	166335	0.080754	94.796377	91.729135
YCR028C	FEN2	III	-	170882	172420	0.023392	27.459653	26.571166
STRG.184	-	III	-	170882	172420	0.023392	27.459653	26.571166
YCR028C-A	RIM1	III	-	172946	173436	0.264706	310.735936	300.681731
